id;name;main_activity;secondary_activities;genres;region__country;contact_information;website
3561;TUTUM;Content creation / Production / Distribution (Rights Holder / Distributor);Technology and Services (Post Production/Studios);"Kids & Teens (Animation, Live-Action); Drama / Fiction / Scripted Format (Feature Film)";Europe (Spain);General Zabala 33, 3d  | MADRID | 28002 | Spain;http://www.tutum.net/
3562;TUTY BROADCASTING; - ; - ; - ;Europe (Czech Republic);Hvozdanska 3  | Prague | 14800 | CzechRepublic;http://www.tuty.tv/
3563;TV 2 AS;Broadcasting platforms (TV Channel); - ;"Docs & Factual (Arts, Music & Culture, Current Affairs, Lifestyle, Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Miniseries, Mobisode / Webisode, Series, Telenovelas / Soap / Sitcom)";Europe (Norway);Karl Johans Gate 14  | Box2 | OSLO | 0101 | Norway;http://www.tv2.no/
3564;TV 2 DENMARK;Broadcasting platforms (TV Channel);Broadcasting platforms (Online Video Platform/MCN);"Docs & Factual (Current Affairs, Lifestyle, Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine); Drama / Fiction / Scripted Format (Series)";Europe (Denmark);TV 2 Programme Department  | 16TeglholmAllé | COPENHAGENSV | 2450 | Denmark;http://www.tv2.dk/
3565;TV 2 NETWORKS;Broadcasting platforms (TV Channel); - ;"Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Miniseries, Mobisode / Webisode, Series)";Europe (Denmark);Teglholm Allé 16  | COPENHAGENSV | 2450 | Denmark;http://www.tv2.dk/
3566;TV 2000;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Production company/Content creation);Docs & Factual (Arts, Music & Culture, Current Affairs, History & Civilisation, Reality / Factual, Science & Knowledge, Social Responsabilities / Green);Europe (Italy);Via Aurelia 796  | ROMA | Lazio | 00165 | Italy;http://www.tv2000.it/
3567;TV ASAHI CORPORATION;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation, Live-Action); Docs & Factual (Lifestyle, Nature & Wildlife, Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Miniseries, Series, TV Movies); Sports";Asia Pacific (Japan);6-9-1 Roppongi  | Minato-Ku | TOKYO | 106-8001 | Japan;http://www.tv-asahi.co.jp/
3568;TV ASAHI PRODUCTIONS;Content creation / Production / Distribution (Production company/Content creation.); - ; - ;Asia Pacific (Japan);1-1-1 Roppongi, Minato-Ku  | Tokyo | 1060032 | Japan;http://www.tv-asahipro.co.jp/
3569;TV ASAHI SERVICE;Content creation / Production / Distribution (Rights Holder / Distributor);Technology and Services (Technology Provider/OS); - ;Asia Pacific (Japan);Ex Roppongi Bldg. 7-18-23  | Roppongi,Minato-Ku | TOKYO | 106-0032 | Japan;http://www.tv-asahi-service.co.jp/
3570;TV AZTECA S.A.B. DE C.V.;Content creation / Production / Distribution (Production company/Content creation.); - ;"Docs & Factual (Lifestyle); Non-Scripted Formats (Factual Entertainment / Magazine); Drama / Fiction / Scripted Format (Miniseries, Series, Telenovelas / Soap / Sitcom)";South & Central America (Mexico);Periferico Sur No.4121  | Col.FuentesDelPedregal | MEXICO | DistritoFederal | 14141 | Mexico;http://www.tvaztecainternacional.com/
3571;TV CENTER;Broadcasting platforms (TV Channel); - ;"Docs & Factual (Current Affairs); Drama / Fiction / Scripted Format (Feature Film)";Europe (Russia);Bolshaya Tatarskaya Str. 33/1  | MOSCOW | 115184 | RussianFederation;http://www.tvc.ru/
3572;TV CHANNEL STB;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Production company/Content creation);"Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Miniseries, Series, Telenovelas / Soap / Sitcom)";Europe (Ukraine);Shevtsova Str 1  | KIEV | 03113 | Ukraine;http://www.stb.ua/
3573;TV CO. SRL;Content creation / Production / Distribution (Sales Agent);Content creation / production / rights holder (Rights Holder / Distributor);"Docs & Factual (Arts, Music & Culture, History & Civilisation); Drama / Fiction / Scripted Format (Feature Film, Miniseries, TV Movies)";Europe (Italy);Via Buccari 16  | ROME | Lazio | 00195 | Italy;http://www.tvco.eu/
3574;TV CULTURA;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Production company/Content creation);"Kids & Teens (Animation, Live-Action); Docs & Factual (Arts, Music & Culture, Educational, youth oriented, History & Civilisation, Nature & Wildlife, Science & Knowledge); Drama / Fiction / Scripted Format (Feature Film, Series)";South & Central America (Brazil);Rua Cenno Sbrighi, 378 Agua  | Branca | SAOPAOLO | SP | 05036-900 | Brazil;http://www.tvcultura.com.br/
3575;TV DERANA ;Broadcasting platforms (TV Channel); - ;"Kids & Teens (Animation, Kids Interactive, Live-Action); Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Series); News";Asia Pacific (Sri Lanka);NO 320, Level 4, Detusche House,   | T.B.JyahaMawatha | COLOMBO | 00100 | SriLanka;http://www.derana.lk/
3576;TV FACTORY; - ; - ; - ;Europe (Switzerland);Eggbuhistrasse 36  | ZURICH | Zurich | 8050 | Switzerland;http://www.tvfactory.ch/
3577;TV FRANCE INTERNATIONAL;Financing & supports (Schools / Official Organisation / Association);Content creation / production / rights holder (Rights Holder / Distributor); - ;Europe (France);5 Rue Cernuschi  | PARIS | Ile-de-France | 75017;http://www.tvfrance-intl.com/
3578;TV JOJ, SLOVENSKA PRODUKCNA, A.S.;Broadcasting platforms (TV Channel); - ;"Kids & Teens (Animation, Docs for Kids, Kids Interactive, Live-Action); Docs & Factual (Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies)";Europe (Slovakia);Brectanova1  | BRATISLAVA | 83101 | Slovakia;http://www.joj.sk/
3579;TV LAND;Content creation / Production / Distribution (Production company/Content creation.);Broadcasting platforms (TV Channel);Drama / Fiction / Scripted Format (Series, Short Film, TV Movies);North America (USA);1575 N Gower Street  | HOLLYWOOD | CA | 90028 | UnitedStates; - 
3600;TV3 TV CHANNEL; - ; - ; - ;Europe (Russia);Olimpisky prospect, 14  | MOSCOW | 129090 | RussianFederation;https://tv3.ru
3581;TV NOVA;Broadcasting platforms (TV Channel); - ;"Kids & Teens (Animation); Docs & Factual (Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Series, Telenovelas / Soap / Sitcom, TV Movies)";Europe (Czech Republic);Krizeneckeho Namesti 1078/5  | PRAGUE5 | 15200 | CzechRepublic;http://www.nova.cz/
3582;TV ONE, LLC;Content creation / Production / Distribution (Sales Agent);Broadcasting platforms (TV Channel);"Docs & Factual (Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine); Drama / Fiction / Scripted Format (TV Movies)";North America (USA);1010 Wayne Avenue  | 10thFloor | SILVERSPRING | MD | 20910 | UnitedStates;http://www.tvone.tv/
3583;TV PINGUIM;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation); Drama / Fiction / Scripted Format (Feature Film, Series, Short Film)";South & Central America (Brazil);Rua Barão de Capanema, 457  | CerqueiraCesar | SAOPAULO | SP | 01411011 | Brazil;http://www.tvpinguim.com/
3584;TV PLAY;Content creation / Production / Distribution (Production company/Content creation.); - ;"Docs & Factual (Educational, youth oriented); Non-Scripted Formats (TV Game Show); Drama / Fiction / Scripted Format (TV Movies)";Europe (Lithuania);P Vileisio Str 18  | VILNIUS | LT-10306 | Lithuania;http://www.tvplay.tv/
3585;TV PLAYER LTD;Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator);Broadcasting platforms (Online Video Platform/MCN);BrandedEntertainment;Europe (UK);3rd Floor  | 30Haymarket | LONDON | Soho | SW1Y4EX | UnitedKingdom;http://www.tvplayer.com/
3586;TV PLUS GMBH;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Licensing Agent);Docs & Factual (Arts, Music & Culture, History & Civilisation);Europe (Germany);Wilhelmstrasse 11  | HANNOVER | Berlin | 30171 | Germany;http://www.tv-plus.com/
3587;TV SBT CANAL 4 DE SAO PAULO S/A;Broadcasting platforms (TV Channel); - ;"Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Telenovelas / Soap / Sitcom)";South & Central America (Brazil);Av. Das Comunicacoes 04  | OSASCO | SP | 06276905 | Brazil;http://www.sbt.com.br/
3588;TV SPEKTRUM SP. Z.O.O. ;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Production company/Content creation);"Docs & Factual (Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Miniseries, Series, TV Movies)";Europe (Poland);Building 1  | Jubilerska10 | WARSAW | 04-187 | Poland;http://www.fokus.tv/
3589;TV THUNDER PUBLIC COMPANY LIMITED;Content creation / Production / Distribution (Production company/Content creation.);Broadcasting platforms (Social Network/Online publisher);Non-Scripted Formats (TV Game Show);Asia Pacific (Thailand);1213/309-10, Soi Lardprao 94 (Panjamit)  | SrivaraRoad,Phlapphla,Wangthonglang | BANGKOK | 10310 | Thailand;http://www.tvthunder.co.th/
3590;TV TOKYO CORPORATION;Content creation / Production / Distribution (Rights Holder / Distributor);Broadcasting platforms (TV Channel);"Docs & Factual (Arts, Music & Culture, Lifestyle); Non-Scripted Formats (Factual Entertainment / Magazine); Drama / Fiction / Scripted Format (Miniseries, Series)";Asia Pacific (Japan);Roppongi Grand Tower, 3-2-1 Roppongi,  | Minato-ku | TOKYO | 106-8007 | Japan;http://www.tv-tokyo.co.jp/
3591;TV TOMORROW UK LTD;Broadcasting platforms (Cable/IP/Satellite/Mobile/OTT Operator); - ;Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies);Europe (UK);Suite 4  | 1LowerJohnStreet | LONDON | W1F9DT | UnitedKingdom;http://www.tvtomorrow.co.uk/
3592;TV-DARIAL, CJSC;Broadcasting platforms (TV Channel); - ;"Docs & Factual (Lifestyle, Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Miniseries, Series, TV Movies); Erotic/Adults";Europe (Russia);Leningradskiy Prospekt, 31A, Bld 1  | MOSCOW | 125284 | RussianFederation;http://www.chetv.ru/
3593;TV2 DENMARK;Broadcasting platforms (TV Channel); - ;"Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Series, Short Film, TV Movies)";Europe (Denmark);Rugaardsvej 25  | Syddanmark | ODENSEC | 5100 | Denmark;http://www.tv2.dk/
3594;TV2 GROUP;Broadcasting platforms (TV Channel); - ;"Kids & Teens (Animation); Docs & Factual (Lifestyle, Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Telenovelas / Soap / Sitcom); Sports";Europe (Hungary);Rona Street 174.  | BUDAPEST | 1145 | Hungary;http://www.tv2.hu/
3595;TV2 NORWAY;Broadcasting platforms (TV Channel); - ;"Docs & Factual (Current Affairs, Lifestyle, Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series)";Europe (Norway);Noestegaten 72  | Noestegaten727222 | BERGEN | 5020 | Norway;http://www.tv2.no/
3596;TV3;Broadcasting platforms (TV Channel); - ;"Kids & Teens (Animation, Docs for Kids, Kids Interactive); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Series, TV Movies); Sports; News";Europe (Ireland);Westgate Business Park   | DUBLIN | 24 | Ireland;http://www.tv3.ie/
3597;TV3 AS;Broadcasting platforms (TV Channel);Technology and Services (Content management);"Kids & Teens (Animation); Docs & Factual (Current Affairs, Lifestyle, Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Telenovelas / Soap / Sitcom, TV Movies)";Europe (Estonia);Peterburi Tee 81  | TALLINN | 11415 | Estonia;http://www.tv3.ee/
3598;TV3 LATVIA;Broadcasting platforms (TV Channel);"Content creation / production / rights holder (Production company/Content creation); Broadcasting platforms (Online Video Platform/MCN, Social Network/Online publisher)";"Docs & Factual (Current Affairs, Lifestyle, Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Miniseries, Mobisode / Webisode, Series, Telenovelas / Soap / Sitcom); BrandedEntertainment";Europe (Latvia);Dzelzavas iela 120G  | RIGA | LV-1021 | Latvia;http://www.tv3.lv/
3599;TV3 TELEVISIO DE CATALUNYA;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation, Docs for Kids); Docs & Factual (Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine); Drama / Fiction / Scripted Format (Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies); Music";Europe (Spain);Carrer de la TV3, S/N  | SANTJOANDESPI | Barcelona | 08970 | Spain;http://www.tv3.cat/sales
3601;TV4 ENTERTAINMENT INC;Broadcasting platforms (Online Video Platform/MCN); - ;"Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Series, TV Movies); Sports; BrandedEntertainment; Gaming (Esport)";North America (USA);2205 Campus Drive  | ELSEGUNDO | CA | 90245 | UnitedStates;http://www.tv4ent.com/
3602;TV4YOU - UNIPESSOAL LDA;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Licensing Agent, Sales Agent);"Kids & Teens (Animation); Docs & Factual (Arts, Music & Culture, Ethnology & Sociology, History & Civilisation, Reality / Factual, Science & Knowledge); Drama / Fiction / Scripted Format (Feature Film, Short Film)";Europe (Portugal);27 B Rua David de Sousa  | LISBOA | 1000-106 | Portugal;http://www.tv4you.pt/
3603;TV5MONDE;Broadcasting platforms (TV Channel); - ;"Kids & Teens (Animation, Docs for Kids); Docs & Factual (Arts, Music & Culture, Educational, youth oriented, History & Civilisation, Lifestyle, Nature & Wildlife); Drama / Fiction / Scripted Format (Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies)";Europe (France);131 avenue de Wagram  | PARIS | Ile-de-France | 75017;http://www.tv5monde.org/
3604;TV8 ;Broadcasting platforms (TV Channel); - ;"Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom)";Europe (Turkey);TV8 - MNG TV YAYINCILIK A.S.  | KemerburgazYoluCendereMevkiiNo:29 | ISTANBUL | 34396 | Turkey;http://www.tv8.com.tr/
3605;TVBIZZ MAGAZINE; - ; - ; - ;Europe (Bulgaria);Krasna Polyana 3, bl. 340, ap. 61  | SOFIA | 1330 | Bulgaria; - 
3606;TVF INTERNATIONAL;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green);Europe (UK);375 City Road  | LONDON | EC1V1NB | UnitedKingdom;http://www.tvfinternational.com/
3607;TVI;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation); Docs & Factual (Current Affairs); Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom)";Europe (Portugal);Rua Mário Castelhano, 40  | BARCARENA | 2734-502 | Portugal;http://www.tvi.pt/
3608;TVIN;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Licensing Agent);Drama / Fiction / Scripted Format (Feature Film, Series, TV Movies);Europe (Russia);Kamennoostrovsky Av, 15  | SAINTPETERSBURG | 197101 | RussianFederation;http://www.tvin.ru/
3609;TVISION MEDIA PRODUCTION;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);Drama / Fiction / Scripted Format (Series);Africa (Egypt);5th Floor  | 7ASadElAllyStreet-Dokki | CAIRO-GIZA | 11220 | Egypt;http://www.tvision-eg.com/
3610;TVN;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Rights Holder / Distributor);"Docs & Factual (Lifestyle, Reality / Factual); Drama / Fiction / Scripted Format (Series, TV Movies)";Europe (Poland);ul. Wiertnicza 166  | WARSAW | Poland;http://www.distribution.tvn.pl/
3611;TVNZ;Broadcasting platforms (TV Channel);"Content creation / production / rights holder (Production company/Content creation); Broadcasting platforms (Online Video Platform/MCN); Technology and Services (Post Production/Studios)";"Kids & Teens (Animation, Kids Interactive); Docs & Factual (Arts, Music & Culture, Current Affairs, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Sports";Asia Pacific (New Zealand);Television Centre   | 100VictoriaStreetWestPOBox3819 | AUCKLAND | 1140 | NewZealand;http://www.tvnz.co.nz/
3612;TVO;Broadcasting platforms (TV Channel); - ;Kids & Teens (Animation, Docs for Kids, Kids Interactive, Live-Action);North America (Canada);2180 Yonge Street  | TORONTO | ON | M4T2T1 | Canada;http://www.tvo.org/
3613;TVPRESS CONSULTING (SENAL); - ; - ; - ;South & Central America (Argentina);Cabildo 3816  | Piso11B | BUENOSAIRES | C1429AAW | Argentina;http://www.revistasenal.com/
3614;TWENTIETH CENTURY FOX HOME ENTERTAINMENT; - ;Content creation / production / rights holder (Licensing Agent, Rights Holder / Distributor);"Kids & Teens (Animation); Docs & Factual (Current Affairs, Nature & Wildlife); Drama / Fiction / Scripted Format (Feature Film, TV Movies)";North America (USA);PO BOX 900  | BEVERLYHILLS | CA | 90213 | UnitedStates;http://www.foxfast.com/
3615;TWENTIETH CENTURY FOX TELEVISION DISTRIBUTION; - ;Content creation / production / rights holder (Licensing Agent, Production company/Content creation, Rights Holder / Distributor, Sales Agent);"Kids & Teens (Animation, Live-Action); Non-Scripted Formats (Reality Shows / Scripted Reality); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, TV Movies)";North America (USA);PO Box 900  | BEVERLYHILLS | CA | 90213-0900 | UnitedStates;http://www.foxfast.com/
3616;TWINS LATIN FILMS;Content creation / Production / Distribution (Production company/Content creation.);Technology and Services (Post Production/Studios); - ;South & Central America (Argentina);Belgrano 1450  | RIOCEBALLOS | Cordoba | 5111 | Argentina;http://www.twinslatinfilms.com/
3617;TWITCH ;Broadcasting platforms (Social Network/Online publisher);Content creation / production / rights holder (Production company/Content creation);"Kids & Teens (Animation, Live-Action); Docs & Factual (Archive, Arts, Music & Culture, Current Affairs, Educational, youth oriented, Ethnology & Sociology, History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Music";Europe (Sweden);Upplandsgatan 47, Lgh 1303  | STOCKHOLM | 11328 | Sweden;http://www.twitch.tv/
3618;TWIZZLEWHIZZ; - ; - ; - ;Europe (UK);70 Abingdon Villas  | UnitedKingdom; - 
3619;TWOFOUR;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Docs & Factual (History & Civilisation, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge); Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show)";Europe (UK);Twofour Studios  | Estover | PLYMOUTH | Devon | PL67RG | UnitedKingdom;http://www.twofour-rights.co.uk/
3620;U CHANNEL, TV SERVICE JSC;Broadcasting platforms (TV Channel); - ;"Docs & Factual (Lifestyle, Reality / Factual); Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies)";Europe (Russia);Bolshoy Tishinsky Per., 43  | MOSCOW | 123557 | RussianFederation;http://www.u-tv.ru/
3621;U-FILM LIMITED;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Docs & Factual (Archive, History & Civilisation, Science & Knowledge); Drama / Fiction / Scripted Format (Miniseries, TV Movies)";Europe (Malta);Office 2, Spinola Residence  | SpinolaRoad | ST.JULIANS | STJ3012 | Malta;http://www.u-film.com.mt/
3622;"UAB 'LAISVAS IR NEPRIKLAUSOMAS KANALAS'""""";Broadcasting platforms (TV Channel); - ;"Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Series)";Europe (Lithuania);Seskines Str 20  | VILNIUS | 07156 | Lithuania;http://www.lnk.lt/
3623;UAB TV3;Broadcasting platforms (TV Channel);Broadcasting platforms (Online Video Platform/MCN, Social Network/Online publisher);"Docs & Factual (Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality)";Europe (Lithuania);Kalvariju Str 135  | VILNIUS | LT08221 | Lithuania;http://www.tv3.lt/
3624;UBISOFT MOTION PICTURES;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Kids & Teens (Animation, Kids Interactive, Live-Action); Non-Scripted Formats (TV Game Show); Drama / Fiction / Scripted Format (Miniseries, Mobisode / Webisode, Series)";Europe (France);126 rue de Lagny  | MONTREUILSOUSBOIS | Ile-de-France | 93100;https://www.ubisoft.com/en-US/office/motion-pictures.aspx
3625;UBM; - ; - ; - ;North America (USA);2 Penn Plaza  | NEWYORK | 10001 | UnitedStates;http://www.licensemag.com/
3626;UCLA;Financing & supports (Schools / Official Organisation / Association);Content creation / production / rights holder (Production company/Content creation); - ;North America (USA);Bunche Hall, 11377  | 315Portolaplaza,Terasakicenter | LA | 90095 | UnitedStates; - 
3627;UFA GMBH;Content creation / Production / Distribution (Production company/Content creation.); - ;"Non-Scripted Formats (Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Series, Telenovelas / Soap / Sitcom, TV Movies)";Europe (Germany);Dianastrasse 21  | POTSDAM | 14482 | Germany; - 
3628;UFA SERIAL DRAMA GMBH;Content creation / Production / Distribution (Production company/Content creation.);Broadcasting platforms (TV Channel);"Docs & Factual (Reality / Factual); Drama / Fiction / Scripted Format (Feature Film, Miniseries)";Europe (Germany);Dianastrase 21  | POTSDAM | Brandenburg | 14482 | Germany;http://www.ufa-serialdrama.de/
3629;UFA SHOW & FACTUAL GMBH; - ; - ; - ;Europe (Germany);Dianastrasse 21  | POTSDAM | Brandenburg | 14482 | Germany;http://www.ufa.de/
3630;UGC IMAGES;Content creation / Production / Distribution (Production company/Content creation.); - ;Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, TV Movies);Europe (France);24 avenue Charles de Gaulle  | NEUILLYSURSEINE | 95522 | France;https://ugc.fr
3631;UKTV;Broadcasting platforms (TV Channel);Content creation / production / rights holder (Rights Holder / Distributor);"Docs & Factual (Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine, Reality Shows / Scripted Reality, TV Game Show); Drama / Fiction / Scripted Format (Series)";Europe (UK);10 Hammersmith Grove  | Hammersmith | LONDON | London | W67AP | UnitedKingdom;http://www.uktv.co.uk/
3632;ULTRA MEDIA & ENTERTAINMENT PVT. LTD.;Content creation / Production / Distribution (Rights Holder / Distributor);Technology and Services (Post Production/Studios);"Kids & Teens (Animation, Live-Action); Docs & Factual (Arts, Music & Culture, Educational, youth oriented); Drama / Fiction / Scripted Format (Feature Film, Miniseries, Mobisode / Webisode, Series, Short Film, Telenovelas / Soap / Sitcom, TV Movies); Erotic/Adults; Music";Asia Pacific (India);2-C, Thakar Industrial Estate  | NMJoshiMarg | MUMBAI | Maharashtra | 400011 | India;http://www.ultraindia.com/
3633;UMAMI MEDIA;Content creation / Production / Distribution (Production company/Content creation.);Content creation / production / rights holder (Rights Holder / Distributor);"Docs & Factual (Reality / Factual); Non-Scripted Formats (Factual Entertainment / Magazine); Drama / Fiction / Scripted Format (Feature Film, Series, TV Movies)";Europe (Netherlands);Prinsengracht 546  | AMSTERDAM | 1017KK | Netherlands;http://www.umami.media/
3634;UMATIK KFT (Creative Europe MEDIA);Content creation / Production / Distribution (Production company/Content creation.); - ;Kids & Teens (Animation);Europe (Hungary);Becsi Ut 58  | BUDAPEST | 1034 | Hungary;http://www.umatik.eu, www.mentaar.eu
3635;UMMAH TRENDS;Broadcasting platforms (TV Channel);Broadcasting platforms (Online Video Platform/MCN);Drama / Fiction / Scripted Format (TV Movies);Europe (UK);36  | WainClose,PenarthHeights | PENARTH | CF641TJ | UnitedKingdom;http://www.twitter.com/khuram999
3636;UMUT SANAT;Content creation / Production / Distribution (Theatrical distributor);Content creation / production / rights holder (Production company/Content creation);Drama / Fiction / Scripted Format (Series, Telenovelas / Soap / Sitcom);Europe (Turkey);Balmumcu Mah. Barbaros Bulvari  | GamzeApt.no.76D.3Besiktas | ISTANBUL | 34349 | Turkey;http://www.umutsanat.com.tr/
3637;UNET TV/RIVER RECORDS; - ; - ; - ;Europe (Italy);via Bronzino 12  | MILANO | Lombardia | 20133 | Italy; - 
3638;UNIFRANCE FILM INTERNATIONAL; - ; - ; - ;Europe (France);13, rue Henner  | PARIS | 75009  | France;http://www.unifrance.org/
3639;UNILAD LIMITED;Broadcasting platforms (Social Network/Online publisher);Content creation / production / rights holder (Production company/Content creation);"Docs & Factual (Arts, Music & Culture, Current Affairs, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge, Social Responsabilities / Green); Non-Scripted Formats (Factual Entertainment / Magazine); News; BrandedEntertainment; Gaming (Esport)";Europe (UK);2  | TABERNACLESTREET | LONDON | EC2A4LU | UnitedKingdom; - 
3640;UNION DES COMPOSITEURS DE MUSIQUES DE FILMS; - ; - ; - ;Europe (France);Espace Altura  | 46rueSaintAntoine | PARIS | 75004 | France;http://www.ucmf.fr/
3641;UNION MEDIA S.A.R.L;Content creation / Production / Distribution (Rights Holder / Distributor);Content creation / production / rights holder (Production company/Content creation);"Kids & Teens (Animation, Docs for Kids, Kids Interactive); Docs & Factual (Archive, Current Affairs, Lifestyle, Nature & Wildlife, Reality / Factual, Science & Knowledge)";Middle East (Lebanon);Shohaybar Bldg 1st floor  | HamraMainStreet14-5114 | BEIRUT | Lebanon;http://www.unionmedia.me/
